sentiment,text
1,Storms! 
0,i can has cleaning lady? i no want to clean house 
0,"I watched the a7x DVD last night, and I swear I was going to die. They are walking sex. Except for the short one and the drummer "
1,"Has anyone had an great success stories on Twitter? If so, I would love to hear your story. DM me "
0,Had enough of work   I wanna go out where my boys?
1,@TanveerNaseer I actually went into that forest once. It's amazing I lived to tell the tale 
0,im so tired!!!! water polo is hard 
0,@stuntbrain  oh no! I looked forward to your tweets more than most. A sad day if this is true. Thanks 4 the coolness..
0,"@stickmoneybags Hey there! Thanks. this is the third time it is happening, so now I am finally going to the Dr. about it. "
0,r.i.p taylor. i will never forget you 
1,feels 8 years old again. 
1,@drawingroom Spot on!  See you soon 
0,"Sitting down , having a cup of tea, watching the cricket. England doing rather well. Oh spoke too soon.... "
1,Wish id had that good taste in music at 16   @SolangeNoir: &quot;@elocio: my favourite song when I was 16!&quot; ? http://blip.fm/~73wfz
1,@daniellelod yeah theres no way i'm befriending her. She can stay friendless 
0,my talent for singing is gone  couldn't even sing basic notes today
0,is exhausted...didn't get a wink of sleep last night 
0,"@holler2party ugh, you're telling me.  I'm going to be staying at the house for another 15 days - a month  I wanna live in my new spot!!!!"
0,Cybil will be gone for 2 weeks  she is In Florida
0,Tried to get a pic of myself up here...I went to my Walgreen's Photo Studio app and it won't open up to allow me to do that!! 
1,@sammlessthan3 goodnight 
0,"@jordanriane im so sorry   I wish I could do something for you. id make you laugh, but that might not b good w shallow breathing."
0,@L_Evans How come you'll never play beer pong with me....  And I ask all the time too!! LAME
1,"@prchrzdtr yeah! good idea!  umm, kaye's the only one that i know of...??"
1,at 1pm will have our pictorial. wearing swim suit. 
1,@MtBonez an ear ache...ow. I hope u feel better soon! 
0,feeling sickk....coughing up a lung 
1,http://twitpic.com/6pw12 - sunglasses are great in arizona weather lovesss 
0,"Headed to the dentist AGAIN...not fun, but it must be done "
0,b man went to the doc today. he has a slight cold. he's been having a fever past 2 days. poor boy! 
0,BOOO ON THE HUSH SOUND BREAKUP  listening to like vines all day
0,@8MusicHacker8  omg Sydney Broke up with you? OMG i am sooo sorry 
1,"looking forward to spending the day with julie,off for dinner and a film. angels and demons. "
1,(apols for the stammer  )
1,@jbirken I will 
0,stupid homework..........there are only 4 days left of school and I have HOMEWORK!!! 
1,@Kjstephens: I WANT TO KNOW THE NAME!!! please?  I love you kj!
0,I honestly believe that Game Designers love making complicated formulas to torment me  #gamedesign #iphonedev #gameproducer
0,enjoyed the bbq last night but is in pain today after eating a burger with hidden jalapeno peppers in they hurt my tummy so much. 
1,Happy Mother's Day!!! Do something productive for your mother (unless she's far away) 
0,@misssilure could be long night ahead then 
1,@rkojoe  the one that got R18 by MTRCB 
1,"@yenra ah congratulations! You'll have to come to Europe at some stage, so... "
0,"@katiekish oooh nooo, you've got it all wrong. it's making FUN of those movies! it's all just a satire. I love it. I hope you can too "
1,Morning people 
1,"@markhundley Oh, thank you!  I really do believe in the power of thought.  Just keep me in mind today.   That means something to me.   "
1,Stupid Jimmie Johnson...wanted to see Tony get a points race win.  At least he's got the points lead. 
1,wow!!! @Jessicanevina... @katrinabikini follows you! awesome 
1,@Sirna7 cream and sugar please...   
0,In chemistry 
1,@hankaye just thought i'd let you know it was so fun jammin' with ya today  love ya lots hannu  &amp; coco! haha
1,THE RAIN SOUNDS SO NICE! 
1,"@LON3WOLF: If u install using a Ubuntu DVD (3.5GB) , then it comes with everything.. but I install live cd and download stuff i need "
0,oww oww fuggety oww bad cramps 
0,work time...its still raining 
0,@PRETTYYYMESS i just saw it on the news  isn't that sad? she was like 62.
1,is going to school!  means that internet is limited.  http://plurk.com/p/112si9
0,@LinearSoulChild I don't want to talk about it  Congrats on getting yours though. Please post photos of the gig!
0,Aahh I lost my sunglasses  it's like losing an appendage. I practically slept with them on. A part of me just died...epic saddness
1,@iamwally u really expect guys like me to appreciate that 
0,@Johnboyy He'll go quicker than he has come back. Now who will we have to tease! 
0,@msheartless412 i cud go back and see if its still there but i doubt it 
1,@erucsbo Let me know when you're in town so we can catch up. 
0,Aw. Jair can't go see &quot;Moon&quot; with me tomorrow. 
0,"@alyyyssa she's so mean to me, I felt so bad you don't even know  lol"
0,@conii_star i miss u!! 
1,"@rxradio1 so a demo is really needed?  i mean, can't we audition live or something?"
1,Forgot my wallet at home.  But home is less than 5 minutes away from work so it is not a big deal 
0,@ddlovato no! I have to wait till aug 2nd to see you. .  but still going to be the best show right? &lt;33
0,Up puppy sitting 
0,"on the phone with Arvest, the girl on the phone is breathing into the mic on the phone... not sound as good as Darth Vader... "
0,"@Theheartsong heart, we are counting on you to record ... "
1,"@aymiephen Aww, yay! He's a good guy. "
1,@zuppalizzle Not sure yet. If i find a couch or someones spare bed probs august...but more likely mid september once i have hotel money 
0,LAST DAY WITH JESSI!  so sad shes going home! went by so fast everyone needs to get a show today or they will be missing out like crazy!
1,"Well, our plans for a BBQ have been destroyed because nobody knows where Matt is. Oh well. Last night was great, though! "
1,@mikechav Dope! ps props on the kick mixing vid dope technique I will prolly use all the time now. waitin for more 
0,Laptop + a+ book adds major weight to the back 
1,BuffaLOVE for the weekend  excited to see my lovies on the island bright and early saturday morning....its all so bittersweet...
0,@EricPalm25 My head hurts like a mofo 
1,@Miss_AValentin i wanna talk to you. 
1,@RyanSeacrest Hey ryan whats up love american idol u rock as a host reply to me if u can thanks so much from kayla !!!!!!!!!!!!!   
1,CLICK.CLICK --  twitpic 
0,Is waiting for a parcel. Where is my parcel UPS? It was supposed to be here this morning 
1,@YoungQ when one of my 3 yr olds saw that pic of ur son on stickam she was like oh look that is my boyfriend...lol I was like HEY no BF's 
1,@spamfeedr this one is really hysterical 
0,@rockwithdaneex oh that sucks 
1,wuhuuuu finally.. done! yipiiiee!! 
0,Cydia stopped working since the iPhone 3.0 update 
0,wants to buy his ticket for @thePROJECTscot online but cant cause he has no printer  #theproj
1,@EddieMalone Call up Virgin Media and see what you can get off them; and then play them off each other.  (probably won't work either)
1,@onehipmama it's pretty. i like it. Happy Mothers Day to you. 
1,off out inabit 
1,Is in starbucks getting a strawberries and cream frappuccino yummm 
1,wow its busy here today  Hi everyone -
1,@OMFGFrankie You need to get to sleep then miss. Or just stay up alllll night. Either way. 
0,The weather is wonderful and I'm here trying to come up with features for machine learning 
1,They're not on for ages ughhh boringggggg!.... Battlefield - Jordin sparks.. love this song 
0,Got an email which subject says: Palm Pre phone now available. I can only drool in response 
1,aparently .. i am going to see la roux ... even though i have never heard of her .. ever .. oww well its a night out! 
1,My interweb took a crap. This means nothing really. I can still tweet! 
0,Ashlis watchin my favorite movie 
0,work//moving #kidsmin sets//capturing//youth alive//NTSC HYPER-DEATH//amazing night//worship Jesus//tired//work tomorrow//dentist  //sleep
0,At home.  Bad cold. 
0,@Lilmissweetlips Check you out!!!! Love ya work drinkin!! Not allowed at the mo!!  I recon if i just smelt booze i'd be tipsy!! LMAO!!! ;)
1,is watching samurai cookoff videos  D is soooo cute dang!!!
1,Lol you know crowley gave everyone who showed up to class 20 points on the chem final because it was senior cut day 
0,My press release is up! Haven't seen any news outlets pick it up yet though.  http://bit.ly/165x0p
0,@Spunk_Ransom_09 alright yea its cute. I guess this proves we havent corrupted them all. sorry spunk 
1,@lushlady15 I love my yourebel tinted moisturiser! definately get that 
1,@Hello_Erin derro from tarro represent! ROFL! aw no..write her a note and hide it  mums like that stuff!
0,"nope, not tired anymore. time to get the day started!  :|"
0,Todays races are done. to much rain and it was cold as hell like 45 degrees 
1,I'm coughing on the guy that buys one of these.  http://bit.ly/KMnex
0,Going to workout really hard today because of the beverages I consumed last night which are bad for P90X training 
1,"Bet everyone who's out in the garden in their bikini's feel a bit silly now, good ol' British weather "
1,@JConnell @CPDScotsman  Oh dear...I've started a ripple effect if inaccuracy! Sorry John 
1,@jordanknight ugh! How did I not know this?! We have a celebration for John the Baptist on the San juan reservation 
0,"@katiedidwhat at least he's a mixed breed, so he has that going for him. of course, the mix is shepherd/rottweiler... "
0,Blahh on my wayy 2 workkk till 12 
1,@thehoodnerd Lmao. Captain morgan. 
1,Reason show will be crazy tonight 
1,@rainbowbandit Come to Tampa! I have a pool 
0,@keeleymarin Sorry -  I was in my afternoon meeting 
0,workin my long day today in plymouth  and things are uneasy at work now thank to the economy
0,Want to be back at the beach 
0,is realllllyyyy tired 
0,"@EbonyManguCat Read the title but couldn't read the article, would make me too sad!! "
1,"@babyfais Guten Morgen, Nadine "
1,Delicious delicious..  yum.
1,@ellyhart hey no problem! Glad you find it useful 
1,@_rndl Do you have cool trainers on? If the answer is yes then the powers of design are strong in you.! 
1,"If you wanna hang out today, hit up the txt! my day isnt completely free... but i can make time  hope i see some of yall "
1,homee with my honeyyyyyy 
0,ugghhh so tired jus ready 2 take a nap but i cant i hav so much wrk 2 do 
0,@CBChaz I've never been! But yes it does suck  Stupid back!
0,heding home from vegas  had a blast sad to see her go!
1,@remorachi who cares! She picks on me! 
1,hopes everyone is having an amazing bank holiday monday. NO WORK 
0,@myhaloromance *double sigh* sad day  and Johnny Depp is old too (( SADFACE!
0,Want to watch the proposal 
1,"If England lose today, Pakistan is automatically in the second round. Go Pakistan!  xD"
0,@NattNatt81 You doggie dazzler!! im trying to work a bit today  if you want we coule pop ovr and say hi later?
1,getting ready for class!! Then hanging out! 
0,I went salsa dancing tonight w friends. so much fun I highly recommend it. however its not smart 2 do if ur sick. now my whole body aches 
1,"@jjx I get no reception on my phone in the Oleander rooms, so couldn't check twitter - sorry for the lag in reply "
0,i has to start work early  it sucks..
0,I'm scared right now.  I hear people fidhting in my alley. 
0,Lunch in the auditorium. Yay? They're not even selling pretzels. 
1,"Just booked a ticket for Lovebox on Sunday  looking forward to Doves, Groove Armada, Wave Machines, Simian and Noah &amp; the Whale!"
1,@hothusband_01  awesome! =D at least that hahahaha but sometimes its not about winning and the important thing is that u had lots of fun! 
1,Is trying out twitter for the 1st time to see what all the fuss is about but i'm sure i will soon be hooked 
1,@churrox3 i am pretty good. Thnx 4 asking! &lt;3 
0,@bustyrockets i know you've tried but told u it would b no good!  x
0,Bah! Still at work. Lol my feet hurt and my nose won't stop running! 
1,"@Lorraine_Kelly yes, James has one. Nice blue eyes "
0,@inkedmn that really sucks dude.  
0,HEy Worldz!  I iz back!!  And so is da damn clawz clippers.   I could have sworn my last hiding place was teh awesomes!
1,@Arleen4Seasons If I lived in a house like that-I would feel like a princess--I don't require a castle-a bungalow would do just fine! 
0,@LolzyluvsJB Neither could i! And i looked on ebay and it was like 250 euro for two!!!! but i doubt my parents would fork that amount out 
1,@MayleesGarden I love lemongrass! That looks lovely! 
1,is preparing to b a beach bum 
0,http://twitpic.com/6eba2 - fried rice + mayo + tomato sauce. I found a piece of broken glass 
1,@davidismyangel great choice. 
1,@cupcakesfortwo looking forward to it 
1,@MzLaynaPisces yea last night was fun as shit. Tell Shakira sorry I couldn't take her home! lol... I was so fucked up 
1,@trish0400 and i always hope they have enough for me. lol. 
1,is goin to get redy for churchhh. 
1,@green_tv  thanks for the follow - nice to see you in the twitterverse 
1,@brittanystreet U already know   Putting in work!! Feeling good 2day on this beautiful #SUPAFLYCREDIBLE Saturday!! U ready for Monday???
1,"@jchu1080 YOU HATCHED!! and your adorable too. as a chicken.  I get to hold you later, when my teacher puts you in the container.  hehe."
1,@kayjp that's awesome... omg i miss blink... i guess i'm just gonna havew to go to that show lol... it'll be an swesome combo. 
0,is  wishing work was done soon  &lt;3
0,I hate rent day. I iz broke 
1,http://twitpic.com/6bqc0 - Make LOVE not WAR!!!!!!  ?
0,Justin's stepping up ceremony today!! He's gettin so big 
0,My car is home. Yay! $613.22 Boo!  I'm paying my mom in installments. I gave her $200 today. I so need to win the lottery. :\
1,E3 today! Fingers crossed for a good turn out!    
0,Urgh. A day of writing procedures for the fab new computer system 
1,@nytimeskristof you should add 'father of three' to your bio like @pogue does. 
0,"@urliljellybean LOL, DAMN AWKWARD ASIANS PHOTOBOMBING US. "
1,"@stacyblue thank you, thank you   xoxo"
1,@LostInInaka You should join! Bribery not necessary  #Japantechtalk
0,@hmason Hell of a morning to be OUT of coffee at the apartment.    Watching rain drip down the windows.  Emergency Earl Grey time.
1,@Nuchii lmao ur tweets make my day. 
0,"I swear I think Sanctuary is going to make me wait a long time until the second season premieres, just like the final season for BSG.  "
1,with the fammm 
0,"Britain's Got Talent, SusanBoyle Finishes SECOND   She'll still have a great career! http://bit.ly/LYjV7"
1,watching the new wolverine movie then obsessed...yay 
0,@melissunderhill WALKKKK ?!?!?! sounds good ! THANKS ! HOLY SHIT I HAVVVVE to go change nowwww !   
1,@emicakes03 thats true 
0,@localjerk Hook up the link to this scholar of an iPhone case. My case is worn down already 
0,It's 4 am and I'm hungry 
1,"@marilyn_i_am thanks for the follow, ill return the favor "
0,hmm? no wifi on this rom? 
0,@slightlysick I'm too poor to have a dictionary! 
1,"Ahh, I love this songg. The lyrics and vocals are amazingg. Their album releases June 9th.  Ã¢ÂÂ« http://blip.fm/~7jih2"
0,#inaperfectworld a week wud be of 365 days cuz i spent the best week of my life frm 7th-13th and it got ovr in a flash 
1,for me its  20 20 everywhere ICC world cup or twitter ..  
1,"@songbookbaby yes, this is Blewz mama, the New Yorker "
0,"can't get my Zune to work. I'm so upset about it, "
0,"@WTF_JayR oh, i know how budgeting is. "
0,"@efd494 alrighty....well I'm guessig you know where this is going....I'm sooo sorry I put you in this position,it was very wrong of me... "
0,orln / amo  u see this....
0,i miss connor  i want him so come back now!
0,Sleeeeeeeeeepy time tends to coincide with school time 
0,@GalSaati With who?!?! why didnt you call me?!?! 
0,"@xbllygbsn okay ;). fs william ;) lol. im going for lunch at half 12..bored already, want food  lol http://bit.ly/7n60L"
0,@petewentz still up 
1,"@ahmednaguib Good Luck Ahmad, bas tc w shed 7eilak "
1,"@travelrants that's cool, I'd be happy to contribute to any future articles. Enjoy the rest of the weekend "
1,@dinglesurf Thanks for the blog comment Mr 
0,I really can not stand up straight.My sun poison is real bad.How am I supposed to walk up the stairs at school?Or do gym class?This blows 
1,Still can't believe imma teacher.  
0,@LuisJrosales I ate them all...   :/  the whole box! 
0,At home in bed trying to recover from this awful flu 
0,is sad. 
0,@KisMEEE Awww  Hope you're ok
1,"@AndyTaylorSonic Like the Remixes.. and no doubt the 'proper' version when it arrives, Still like to see some photos of your studio/setup "
1,I love waking up to the sound of waves  looks like a good beach day!
0,"downloading &quot;the shawshank redemption&quot;. i hope you're in a better place, pedro... "
1,"@durian_girl So it's just a feeling, ha!  Well, I hope it's a boy "
1,@JKFalsettoKing nice background T!  if i can get nancy a pic w/ jon. your next!
1,GOING 2 MY SISTER HOUSE 2 GO EAT WITH MY NEPHEWS 
0,i hate sunday evenings        going off now. byebye
1,@gerardwayrox Hey do I want to see a pic of your baby brother? Yeah sure 
0,Goin 4 A Bit.. Got 2 Read My Notes  1 More 2 Gooo! 
0,danieleterrell: stranded at the Kangaroo - pumped gas and now car won't start 
0,God I hate the end of &quot;Bridge to Terabithia&quot; It always makes me cry 
0,"Ugh, I feel so bad now.....I'm sorry, sweetie! "
1,"@TweetyDeee lmaoooooo.. girl I've been doing this since I was 17, Imma be 30 this year. I taught myself "
0,I left my heart @holdenbeach  Hoping to go back for a couple of days around the fourth (via @AnNa_HaLe)
0,@thesharkdude nopes  I wanna watch that but things got complicated last time XD
1,@A_WiLL lol 
0,My insect bites are seriously annoying! VERY intchy and swollen  All together there is about 14!!! Oh man.. trying to stop scratching! :'(
1,"@lancearmstrong good luck, will be following you "
0,"another goodbye, this time to claudia  starbucks, bag shopping and some hidden tears..."
1,"Moving into new offices, building cage for the wild computers....going to have to find something fun to feed them "
0, i failed my math final part #2     i hate calculus nowwww !
0,ahhh sorrrryyyy for all the unanswered phone calls/text!!! i left my phone at home all day 
1,"is thinking he's going to do lots of washing today, then watch Gilmore Girls tonight yay "
1,@lamunro you're so kind 
0,@fatwog my mum said no coz i already know how and wont let me go pro 
0,"@WetBankGuy so sorry!  soo, soo sorry!"
0,more pictures    http://25khordad.wordpress.com/
1,yewwwww!! saturday night going off.. hitting the clubs soon 
0,i just realized that I am not getting any taller. 
1,#goodsex is when you still feel the tingle days later 
0,"either way, it's gotta get frogged. it's waaay too big. "
1,@AlAllDay  No Prob love 
1,In ulladulla with my beautiful cousins!! xo 
0,"Sorry folks, no vegan cheese today!  but we will have some tomorrow! #mxeats"
1,Sounds good. 
0,iChat isn't working 
1,I'm going to eat at my grandma's house  
0,Long day tomorrow 
1,"@Shudh Thank you, I knew and I appreciate very much the clicks from India "
0,Wasted 10 usd and 1 hour for the salsa class 
1,@michellehv Hi Michelle! How are you? How is you day starting? Hope you can read my sentence because my english is cruel! 
0,Trying 2 change my profile pic bt it won't let me 
0,celebrating my dads birthday tomorrow with a cookout tomorrow. hopefully it wont rain 
0,@torliad NICE! no but the more recent ones allow you to play others if you do though i bet it will slow the computer you do have 
1,Punahou School World Literature Class 2009 http://iws.punahou.edu/user/cshigemitsu/dialogue3/dialogue3index.htm  to be part of World D ...
0,"At the laundrette bored, not getting an iPhone now  i am getting an iPod Touch so it's still cool but i did want the iPhone"
1,Is likin this morning! Going really well. 
1,shudder the thought he may have an agenda what with having a mudbox dvd coming out lol.....  still you have to laugh 
1,@firsttiger pretty good can't complain. Did some running and some sushi eating. Mmm sushi. 
1,@siz_star goodnight  xx
1,Last day in Strawberry Jam land and then off to Vegas 
1,@angellr  hey how are you? x
0,Srsly. I'm screwed. I wonder how mad Jackie's going to be. 
1,"Okay, kidding about the Egyptian navigators -- that's from an old emerald nuts ad "
1,Ã¯Â¿Â½Hola Twitter! I'm coming! 
0,still my favorite britney video...why can't she still look like this  http://bit.ly/B8z3m
1,@emmaparkes stuff it well good  how's your summer goin? Not long until your holiday now wheeeyy x x
1,http://twitpic.com/6halj - why thank you @emilypattySIMMS !! 
0,needs to leave to office so that I can enjoy my first summer Friday... by going to the gym 
1,@glotrovato http://twitpic.com/6cssi - I want some Toms shoes!!!  Lovely pic btw
1,"@PixieVonDust Nah thats a bear crapping in the woods in rattlesnake country  You'll have to excuse me, brain do odd things today "
1,@taylorswift13 taylor i LOVED the dateline tonight  Its so crazy to see how everything has come together! I freak out everytime I ...
1,"@johnembrace I'm sure I will, thank you for your kind follow, means a lot to me. "
0,@lewilson24 i just saw this 
1,Last complete weekend in AP.. in this inning(job inning  )
1,@kana1 - oh you're there! Hope you don't mind us posting your recursive MiniCard 
1,"Lo Que Soy - Demi Lovato (aka Nighthawk or Lemi Dovato) this song is so beautiful, especially in Spanish "
1,"Nick Jonas is so pale compared to me. Actually, everyone is :| Haha, love him &amp; Jake for helping us meet  http://twitpic.com/5dead"
1,@vintageeclectic: take a break and continue tomorrow 
1,blogged my last treasuries on etsy http://viltefelt.blogspot.com/ i really love making them and collecting 
0,"Just deleted my Plurk account   It makes me sad, but I just don't have the time to devote to it!  Maybe one day I will Plurk again..."
0,GoodNight! again earthquake here in Italy 
0,walking to the path. taking it to hoboken. chris is going to pick me up there  http://myloc.me/2h4g
1,Diet Dr. Pepper in the rest stop fountain.  Definitely have crossed over.  
1,wearing her socks. one step closer 
1,"off now, going to NTNU "
1,GOT A SOUND CHECK! IT WAS AMAZING! AND MCFLY IS HERE! 
0,"my biggest wish is, that i meeet you. But iÃÂ´m so sad, because i nerver meet you "
0,WOW I can't believe the weekend is almost over..... 
1,"My very dear @papascott, it is my great pleasure to welcome you as my 100. follower - thanks! I'll try to live up to the expectations. "
0,I has a OMG I'VE BEEN AT WORK FOR 8 HOURS AND IT'S 1:30 headache. 
0,"Classic NBA Jam game. Beat the Hornets 78-65. Shawn Kemp: 78 points, 35 dunks, 18 steals. No broken backboard though "
0,half a day is gone again 
0,missing friday night adventures in nyc 
1,@Bosn_C_Otter Can't you have sex AND play halo? 
1,@tomsp Consider it a kind of applause - a comedic bravo if you will. Wikipedia makes it sound snarky though. 
1,Sippin at hazels houseeeee with frieeends 
0,@Squiffers I'm so jealous. There's no sun out here today! Even the birdies are hiding cuz of the scary clouds. 
0,twitpic hates me 
0,"coach didn't field me in, and we lost. bah. anyway, resting now, i'm having signs of my tension headache again. "
1,@tommcfly awwww man! use my guitar  i cant play it yet :| succkkks! random question.. do you ever watch The HIlls?  loveyou x
1,Checkin my emails and makin some beats 
1,@SethsMaisy hahaha. i love you Maisy! 
1,"Getting ready for work, then packing for a long weekend in Istanbul. Last-minute planning, as ever "
1,is waiting at the bus stop to go home. I love hawaii! 
0,Long story   Not about anyone you know. Some mean girl!
0,chunk got his heart broken.. 
1,@starrhi_night Booo. I don't wanna use you for your connections (unless you offer before I spend money) hahah 
1,Drinking latte by the beach it's very nice 
1,@iamkhayyam No. south arkansas u.s. Kim in southern dialect sounds more like khayyam. 
1,watching my boy jj 
1,@LVWJoshBell would love to set a time to meet ! I'm there Tuesday - Thursday 
0,@DeathroW22 I havent had the chance to try it yet.  God damn Sony
1,@aniterzayan haha thaaaanks 
0,Why does mom keep checking my phone. ITS SO FRICKIN IRRITATING!! plz mom.. I'm not dating anyone.. 
1, can't wait to come home!
1,.. is checking out twitter.. so far so.. ok... for now.. 
1,@PaulHarriott Hmmmmmmmmmm yeah Yawn!! Might have a voddie later  How's you?
0,Sitting here bored at the computer. Real sleepy. Not feeling well 
0,@mileycyrus i wish she had a concert in india 
0,@assbach same problem here... 3.0 works fine but no network 
1,Tmail'in Taylah P. of Vistoso Bosses 
1,Nevermind..... @petewentz is coming on after the commercial break. 
1,is loving the beach! 
1,@kidd86dro yepp before its all over ima be singin shawty lo &quot;dun dun it all&quot; 
0,"Here at movie screening here at Beverly Hills. Although I worked on the movie, I feel very awkward. "
1,@MaguiB I love every Taylor Swift song  I have like 40 TS song on my phone xD r u coming to the meeting newt saturday?
0,nursing football injuries 
0,@lwcavallucci it's scary. 
1,Just got up!!! im about to brush my teeth and take a shower  any i love mornings. . .
0,"I was so close into entering Pogue 's book today &quot; World according to twitter&quot; , yet now I seem so far.!!!!!!!!!!!! "
0,"@drcharlii hey dr. charli can i make an appointment on um monday, i have a uh flesh eating bacteria disease  *has thermomture in mouth*"
1,"What a blessed day! I made chocolate covered strawberries, the best beef I've ever tasted &amp; I juiced carrots, apples &amp; ginger! Delicious! "
1,@no_absolutes I have some Earl Grey tea if you want some 
1,@SiTume isn't it great!  Will we see yous in a field sometime soon? 
0,"didnt end uploading the video! but i shall have a video up this week, just been busy with school work "
1,@JackAllTimeLow That's soo true Jack  I love this kind of prhases you say. I think you have to know that xD
1,"Almost nothing is as soothing to me but an early morning walk in nature; birds chirping, the smell of dewy grass.....it is love "
0,Aaww man I can't believe that saturday is about to come to an end. I  have to to to school on Monday. 
1,@backstreetboys hi i decided to try to put my question here also  is it clear when can we expekt new single or the ALBUM ;)))
1,@urface57041: DO IT DO IT GRAB NO HATE. Has Jennifer ever been wrong? 
0,Gosh this cough is killing me!! 
0,At the hospital with Ainat 
1,@Bellanieve Every little thing is getting better 
0,@SandynLos I sat in my car with my pre plugged into an adapter..now I'm stuck cause my battery dead..soo yea..pretty weak. 
1,"@bendelunapo Ha-ha! Hey Ben! Where in Australia are you staying?  I have family there, if ever I stop by. I'll come visit! "
1,@saltevents well done for Sunday Times!! 
0,Nevermind about getting to watch church 
0,just spent all day workin outside    now time to cool off
1,evening party between dancers at nighclub  and before i will go with my dance teacher to see the breakdancers training YEAH
0,"@EdRoberts catching up on tweets, just saw yours from earlier today. My condolences on the loss of your grandfather "
1,"@wizbiff  i need a different job, if he is gonna chat all night. he's cute so i'll get over it "
1,Good night. See some of you tomorrow 
0,would love to know who's house party we bowled right into last night. I want the house please. abFAB night yup!! One more sleep in ldn 
1,"YESSSSSSSS!  WOOO, EFF YES! GET EM BABY!"
0,I really hate not having money 
0,Excited to fly home tn! Gonna miss my bebe bebe though 
0,Aww no ones twiiting 
0,@kaylacollins And why do men suck might I ask? 
1,ohh i like the new moon trailer 
1,great meeting at @thelotproject  God is moving in this ministry! Amazing stuff going on.. 
0,Took my exam. Didn't pass  Heading home to re-evaluate next steps. I'm sure wine will be involved.
1,@mynameislogang what ? Its the best ! We don't sleep  . . . EVER ! . . . Your a Cali guy ?
0,D'OH!!!! I knew it was too good to be true...the &quot;coupon/voucher&quot; is for 10 days only....  my fault..but at least my friend had fun!
0,"Neither my cable provider nor #Android tethering route IP protocol 47, so I am unable to open PPTP VPN connections from home now. "
1,"instead of working out, we went to get a bucket of ice cream &amp; donuts to eat  hahaha."
0,Hangover... 
1,@tommcfly sorry you're having a bad day..  your fans are still gonna love you guys that's a fact 
1,Now gettin fit in the gym  bugger its hot
0,"Ok its beautiful out, I'm keeping my friend indoors, I must go outside..Damn, I love being at home...Oooookkkk, bye guys till later.  lol"
0,5 hours still not completed the 1 bit of coursewrok when i have like 6 other bits to do and very important revsion to do bumhole! 
0,says chy chy cuit. . . chy chy cuit. . .kngen kmu nie. . .  http://plurk.com/p/riv7n
1,"@PerezHilton hey perez! good luck! well, i'm still planning for a big present to be given for my mom! i love you mom! "
1,I love Saturday mornings. Listening to @NPRWeekend on @kcrw and sitting outside with coffee and some bing cherries 
1,@miss_smidge Why do you feel grim? 
